MSSubClass,MSZoning,LotFrontage,LotShape,LandContour,LotConfig,Neighborhood,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,ScreenPorch,SaleCondition,YrSold,Prediccion_Escalada,Precio_Predicho_USD
60,RL,102.0,IR1,Lvl,Inside,NridgHt,9,5,2010,Gable,VinylSd,Ex,PConc,Ex,No,Unf,Ex,Y,1627,707,2334,0.0,1,Ex,10,Typ,1,Gd,Fin,3.0,751.0,Y,144,0,Partial,2010,12.716419940977397,333173.9286873285
20,RL,94.0,IR1,Lvl,Corner,NridgHt,8,5,2010,Gable,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Y,1544,0,1544,0.0,0,Gd,7,Typ,0,,RFn,3.0,868.0,Y,0,0,Partial,2010,12.376217962971202,237095.42186078784
20,RL,90.0,Reg,Lvl,Inside,NridgHt,9,5,2005,Hip,VinylSd,Gd,PConc,Ex,No,GLQ,Ex,Y,1698,0,1698,0.0,0,Ex,7,Typ,1,Gd,Fin,3.0,730.0,Y,192,0,Normal,2010,12.608912351916315,299213.41248930705
20,RL,79.0,IR1,Lvl,Inside,NridgHt,8,5,2006,Hip,CemntBd,Gd,PConc,Ex,No,GLQ,Ex,Y,1822,0,1822,0.0,0,Ex,8,Typ,1,Gd,RFn,3.0,678.0,Y,0,0,Normal,2010,12.579681434820886,290593.72447432694
20,RL,110.0,Reg,HLS,Inside,NridgHt,9,5,2004,Hip,VinylSd,Ex,PConc,Ex,Gd,GLQ,Ex,Y,2696,0,2696,1.0,1,Ex,10,Typ,2,Gd,Fin,3.0,958.0,Y,220,0,Normal,2010,12.946665631061014,419435.7484999429
60,RL,105.0,Reg,Lvl,Corner,NridgHt,8,5,2002,Gable,VinylSd,Gd,PConc,Gd,Gd,GLQ,Ex,Y,1687,563,2250,1.0,1,Gd,7,Typ,1,Ex,Fin,3.0,756.0,Y,238,0,Normal,2010,12.717370470524157,333490.77091084764
120,RL,41.0,IR1,Lvl,Inside,NridgHt,8,5,2006,Gable,VinylSd,Gd,PConc,Gd,Mn,GLQ,Ex,Y,1370,0,1370,0.0,0,Gd,6,Typ,1,Gd,RFn,2.0,484.0,Y,120,0,Normal,2010,12.364101863805901,234240.08293287817
20,RL,100.0,IR1,Lvl,Corner,Gilbert,6,5,2005,Gable,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Y,1324,0,1324,0.0,0,Gd,6,Typ,0,,Fin,2.0,430.0,Y,36,0,Normal,2010,12.036764022022531,168849.6616601978
120,RL,43.0,Reg,Lvl,Inside,Blmngtn,7,5,2006,Gable,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Y,1145,0,1145,0.0,0,Gd,6,Typ,0,,Fin,2.0,437.0,Y,100,0,Normal,2010,12.12080791990159,183653.8325682563
80,RL,67.0,IR1,Lvl,Inside,Gilbert,7,5,2004,Gable,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Y,744,630,1374,1.0,1,Gd,7,Typ,1,Gd,Fin,2.0,400.0,Y,100,0,Normal,2010,12.17462813871714,193808.94606841652
60,RL,63.0,IR1,Lvl,Inside,Gilbert,7,5,2004,Gable,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Y,847,886,1733,0.0,1,Gd,7,Typ,1,Gd,Fin,2.0,433.0,Y,144,0,Normal,2010,12.189478320105724,196708.5203883426
60,RL,60.0,IR2,Lvl,CulDSac,NoRidge,8,5,1998,Hip,VinylSd,Gd,PConc,Ex,No,Unf,Ex,Y,1645,830,2475,0.0,1,Gd,7,Typ,1,TA,Fin,3.0,962.0,Y,23,256,Normal,2010,12.685665621689626,323083.35104623553
20,RL,73.0,Reg,Lvl,Inside,Somerst,8,5,2006,Gable,VinylSd,Gd,PConc,Gd,,Unf,Ex,Y,1595,0,1595,0.0,0,Gd,6,Typ,1,Gd,RFn,3.0,880.0,Y,144,0,Normal,2010,12.357455964102636,232688.50835057217
20,FV,92.0,Reg,Lvl,Inside,Somerst,7,5,2010,Hip,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Y,1218,0,1218,0.0,0,Gd,4,Typ,0,,RFn,2.0,676.0,Y,0,0,Partial,2010,12.148958053936349,188897.1666056406
20,FV,84.0,Reg,Lvl,Corner,Somerst,6,5,2005,Gable,VinylSd,Gd,PConc,Ex,No,GLQ,Ex,Y,1468,0,1468,1.0,0,Gd,6,Typ,1,Gd,Fin,2.0,528.0,Y,0,216,Normal,2010,12.357346547355107,232663.04972362655
60,RL,70.0,Reg,Lvl,Inside,SawyerW,7,5,2004,Gable,VinylSd,Gd,PConc,Gd,Av,Unf,Ex,Y,831,828,1659,0.0,1,Gd,8,Typ,0,,RFn,2.0,484.0,Y,144,0,Normal,2010,12.115944446850909,182762.80560204023
30,RH,70.0,Reg,Lvl,Corner,SawyerW,5,5,1950,Gable,Wd Sdng,TA,BrkTil,TA,No,Unf,TA,N,1012,0,1012,0.0,0,TA,5,Typ,0,,Unf,1.0,429.0,Y,121,0,Normal,2010,11.502391807200587,98952.16269164311
20,RL,39.0,IR1,Lvl,CulDSac,Sawyer,6,6,2002,Hip,Plywood,TA,CBlock,TA,Gd,BLQ,Ex,Y,1494,0,1494,1.0,0,TA,7,Typ,2,Fa,Fin,2.0,461.0,Y,296,0,Abnorml,2010,12.098120856949045,179534.17467473794
60,RL,85.0,IR1,Lvl,Inside,NoRidge,8,5,1993,Gable,HdBoard,Gd,PConc,Gd,No,LwQ,Ex,Y,1251,1098,2349,1.0,1,Gd,9,Typ,1,TA,RFn,3.0,762.0,Y,32,0,Normal,2010,12.557157410247292,284121.54764436645
60,RL,88.0,Reg,Lvl,Inside,NoRidge,8,5,1993,Gable,HdBoard,Gd,PConc,Gd,No,GLQ,Ex,Y,1402,823,2225,1.0,1,Gd,7,Typ,1,TA,RFn,3.0,713.0,Y,198,0,Normal,2010,12.594338884270694,294884.45607358264
120,FV,25.0,IR1,Lvl,CulDSac,Somerst,7,5,2005,Gable,MetalSd,Gd,PConc,Ex,Av,GLQ,Ex,Y,1488,0,1488,1.0,0,Gd,6,Typ,1,Gd,Fin,2.0,506.0,Y,168,0,Normal,2010,12.432252804784056,250760.3057759654
160,FV,39.0,Reg,Lvl,Inside,Somerst,7,5,2004,Gable,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Y,840,840,1680,0.0,1,Gd,3,Typ,0,,RFn,2.0,588.0,Y,0,0,Normal,2010,12.148963813356685,188898.25454695636
160,FV,30.0,Reg,Lvl,Inside,Somerst,7,5,2004,Gable,MetalSd,Gd,PConc,Gd,Av,GLQ,Ex,Y,600,600,1200,0.0,1,Gd,4,Typ,0,,RFn,2.0,480.0,Y,0,0,Normal,2010,12.080161495975911,176338.63642710712
160,FV,24.0,Reg,Lvl,Inside,Somerst,7,5,2005,Gable,MetalSd,Gd,PConc,Gd,No,GLQ,Ex,Y,600,600,1200,1.0,1,Gd,4,Typ,0,,RFn,2.0,480.0,Y,0,0,Normal,2010,12.076753929381855,175738.77339743
160,FV,24.0,Reg,Lvl,Inside,Somerst,6,5,2005,Gable,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Y,600,636,1236,1.0,1,Gd,4,Typ,0,,RFn,2.0,480.0,Y,0,0,Normal,2010,12.049269098712227,170974.39692879893
160,FV,,Reg,Lvl,Corner,Somerst,6,5,2000,Gable,MetalSd,Gd,PConc,Gd,No,GLQ,Ex,Y,756,756,1512,1.0,1,Gd,5,Typ,0,,Unf,2.0,440.0,Y,0,0,Normal,2010,12.137633049536033,186769.97333454652
160,FV,,IR1,Lvl,FR2,Somerst,7,5,2003,Gable,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Y,530,550,1080,0.0,1,Gd,4,Typ,0,,RFn,2.0,496.0,Y,0,0,Normal,2010,12.024790384216697,166839.9726225285
20,FV,57.0,IR1,Lvl,Inside,Somerst,8,5,2010,Gable,CemntBd,Gd,PConc,Ex,No,GLQ,Ex,Y,1418,0,1418,1.0,1,Gd,6,Typ,1,Gd,RFn,3.0,852.0,Y,160,0,Partial,2010,12.503883200908298,269381.3198993681
60,FV,68.0,IR1,Lvl,Inside,Somerst,8,5,2000,Gable,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Y,975,873,1848,1.0,1,Gd,7,Typ,1,TA,RFn,2.0,592.0,Y,280,0,Normal,2010,12.443541126606108,253607.00581221192
20,FV,80.0,Reg,Lvl,Inside,Somerst,7,5,2002,Gable,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Y,1492,0,1492,1.0,0,Gd,6,Typ,1,Gd,RFn,2.0,596.0,Y,277,0,Normal,2010,12.350922934156161,231173.30219006824
20,RL,,IR1,Lvl,Inside,NWAmes,6,6,1967,Hip,HdBoard,TA,CBlock,TA,No,GLQ,Gd,Y,1829,0,1829,1.0,0,TA,8,Typ,0,,RFn,2.0,535.0,Y,0,0,Normal,2010,12.188371227836807,196490.8664099396
60,RL,80.0,Reg,Lvl,Inside,NWAmes,6,5,1993,Gable,MetalSd,TA,PConc,Gd,Mn,GLQ,Ex,Y,1280,1215,2495,1.0,1,Gd,9,Typ,1,TA,Unf,2.0,660.0,Y,224,0,Normal,2010,12.36307367978429,233999.36479486365
50,RL,,IR1,Lvl,Inside,NWAmes,6,5,1978,Gable,MetalSd,TA,PConc,Gd,Mn,ALQ,TA,Y,1287,604,1891,0.0,0,TA,7,Typ,1,TA,RFn,2.0,678.0,Y,0,0,Normal,2010,12.129246175727578,185210.1074793817
60,RL,80.0,Reg,Lvl,Inside,NWAmes,6,6,1971,Gable,MetalSd,TA,CBlock,TA,No,ALQ,TA,Y,930,715,1645,0.0,2,TA,7,Typ,0,,RFn,2.0,441.0,Y,0,0,Normal,2010,12.030219289480383,167748.19412166334
20,RL,80.0,Reg,Lvl,Inside,NAmes,5,5,1966,Hip,VinylSd,TA,CBlock,TA,No,Rec,TA,Y,1232,0,1232,1.0,1,TA,6,Typ,0,,RFn,2.0,490.0,Y,0,0,Normal,2010,11.84833780546321,139851.69315085892
20,RL,90.0,Reg,Lvl,Corner,NAmes,5,5,1966,Hip,HdBoard,TA,PConc,Gd,No,BLQ,Gd,Y,1209,0,1209,1.0,0,TA,6,Typ,0,,RFn,2.0,504.0,Y,0,0,Normal,2010,11.88926714085042,145694.48516517246
20,RL,88.0,Reg,Lvl,Inside,NAmes,5,6,1967,Gable,Wd Sdng,TA,CBlock,TA,No,BLQ,Ex,Y,1510,0,1510,1.0,0,Gd,6,Typ,0,,RFn,2.0,517.0,Y,0,204,Normal,2010,12.01714381406317,165569.0842284903
80,RL,,IR1,Lvl,Inside,NAmes,6,5,1964,Gable,HdBoard,TA,CBlock,TA,No,Unf,TA,Y,1131,644,1775,0.0,0,TA,8,Typ,0,,Unf,2.0,480.0,Y,0,0,Family,2010,11.879872010188452,144332.07646565503
90,RL,98.0,IR1,Lvl,Inside,NAmes,5,6,2001,Hip,HdBoard,TA,CBlock,TA,No,BLQ,TA,Y,1728,0,1728,2.0,0,TA,10,Typ,0,,,0.0,0.0,Y,0,0,Abnorml,2010,11.898444014017507,147037.65861661368
50,RL,68.0,Reg,Lvl,Inside,NAmes,5,7,2002,Gable,MetalSd,Gd,CBlock,TA,No,LwQ,Gd,Y,1929,532,2461,0.0,0,TA,7,Min2,2,Gd,Unf,2.0,400.0,Y,0,0,Normal,2010,12.123633696988616,184173.53129082645
50,RL,120.0,Reg,Lvl,Corner,NAmes,6,6,1950,Gable,MetalSd,TA,CBlock,TA,No,Rec,TA,Y,1019,537,1556,0.0,0,TA,6,Typ,1,Gd,Unf,2.0,470.0,Y,0,0,Normal,2010,11.942993110467304,153736.1515614853
85,RL,75.0,IR1,Lvl,Inside,NAmes,6,8,2008,Gable,HdBoard,TA,CBlock,TA,Gd,GLQ,Gd,Y,1128,0,1128,1.0,0,Gd,5,Typ,1,Gd,Unf,1.0,315.0,Y,238,0,Normal,2010,12.069917982773207,174541.52933593767
90,RL,70.0,Reg,Lvl,Corner,NAmes,5,5,1958,Gable,HdBoard,TA,CBlock,TA,No,Unf,TA,Y,1604,0,1604,0.0,0,TA,8,Typ,0,,Unf,2.0,576.0,Y,42,0,Normal,2010,11.860113898119247,141508.3348860837
20,RL,70.0,Reg,Lvl,Inside,NAmes,7,5,2009,Gable,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Y,1480,0,1480,1.0,0,Gd,7,Typ,0,,RFn,2.0,620.0,Y,252,0,Normal,2010,12.162716640900335,191514.08597449932
20,RL,,IR1,Lvl,Inside,NAmes,5,5,1959,Hip,MetalSd,TA,CBlock,TA,No,BLQ,TA,Y,1143,0,1143,1.0,0,TA,6,Typ,0,,RFn,1.0,308.0,Y,0,0,Normal,2010,11.750741571443076,126847.59068670573
20,RL,87.0,IR1,Lvl,Inside,NAmes,5,5,1959,Hip,MetalSd,TA,CBlock,TA,No,Rec,Fa,Y,1206,0,1206,0.0,0,TA,6,Typ,0,,RFn,1.0,312.0,Y,0,0,Normal,2010,11.71990885153945,122996.2137720179
20,RL,80.0,Reg,Lvl,Inside,NAmes,6,5,1959,Gable,Wd Sdng,TA,CBlock,TA,No,Rec,Ex,Y,1580,0,1580,1.0,1,TA,6,Typ,2,Gd,Unf,2.0,440.0,Y,0,160,Normal,2010,12.07814376708735,175983.19158247588
50,RL,60.0,Reg,Lvl,Inside,NAmes,4,5,1956,Gable,MetalSd,TA,CBlock,TA,No,Unf,TA,Y,832,505,1337,0.0,0,TA,5,Typ,0,,Unf,1.0,263.0,Y,0,0,Normal,2010,11.592143910016715,108244.07500660789
20,RL,60.0,Reg,Lvl,Inside,NAmes,5,7,1952,Gable,WdShing,TA,CBlock,TA,No,BLQ,TA,Y,1064,0,1064,0.0,0,Fa,4,Typ,0,,Unf,1.0,318.0,Y,0,0,Normal,2010,11.691409501869012,119540.38007693052
20,RL,119.0,Reg,Lvl,Corner,NAmes,5,6,1955,Gable,MetalSd,TA,CBlock,TA,No,Rec,TA,Y,972,0,972,0.0,0,TA,5,Typ,0,,Unf,1.0,305.0,Y,0,0,Normal,2010,11.652223851483068,114946.7034297565
190,RL,70.0,Reg,Lvl,Inside,NAmes,5,5,1958,Gable,MetalSd,TA,CBlock,TA,Av,Rec,TA,Y,988,0,988,1.0,0,TA,5,Typ,0,,Unf,1.0,264.0,Y,0,0,Abnorml,2010,11.59277126503416,108312.00377567126
30,RL,65.0,Reg,Lvl,Corner,NAmes,4,7,1994,Gable,MetalSd,TA,BrkTil,TA,No,Unf,Gd,Y,985,0,985,0.0,0,TA,4,Typ,0,,Unf,2.0,676.0,N,0,0,Normal,2010,11.631210820218936,112556.52514979297
50,RL,60.0,Reg,Lvl,Inside,NAmes,6,8,2004,Gable,WdShing,TA,CBlock,TA,No,ALQ,TA,Y,816,408,1224,1.0,0,TA,5,Typ,0,,Unf,1.0,280.0,Y,414,0,Normal,2010,11.887905182523983,145496.19041323208
20,RL,81.0,IR1,Lvl,Corner,NAmes,5,6,1960,Gable,BrkFace,TA,CBlock,TA,No,Rec,Ex,Y,1175,0,1175,0.0,1,TA,6,Typ,0,,RFn,2.0,484.0,Y,0,0,Normal,2010,11.850792338218294,140195.3853418676
20,RL,80.0,Reg,Lvl,Inside,NAmes,6,7,1984,Hip,Wd Sdng,TA,CBlock,TA,Gd,BLQ,TA,Y,1395,0,1395,1.0,0,TA,7,Min1,1,TA,RFn,2.0,440.0,Y,657,240,Normal,2010,12.154753209543731,189995.03316113134
50,RM,60.0,Reg,Lvl,Corner,OldTown,4,5,1954,Hip,Wd Sdng,TA,PConc,TA,No,ALQ,TA,Y,1157,687,1844,1.0,0,TA,9,Min2,2,Gd,Unf,1.0,240.0,Y,84,0,Abnorml,2010,11.731030154151041,124371.72645454259
30,RM,56.0,Reg,Lvl,Inside,OldTown,5,7,1950,Gable,Wd Sdng,TA,PConc,TA,No,BLQ,TA,Y,936,0,936,1.0,0,TA,5,Typ,1,Gd,,0.0,0.0,P,51,0,Normal,2010,11.591365850886511,108159.88747144587
20,RM,69.0,Reg,Bnk,Inside,OldTown,5,7,1957,Hip,MetalSd,TA,CBlock,TA,Mn,BLQ,Gd,Y,1347,0,1347,1.0,0,Gd,6,Typ,0,,Unf,2.0,551.0,Y,0,0,Normal,2010,11.894669132421164,146483.6551717033
45,RM,50.0,Reg,Lvl,Corner,OldTown,6,7,2000,Gable,MetalSd,TA,PConc,Gd,No,Unf,Gd,Y,827,424,1251,0.0,0,Fa,6,Typ,0,,Unf,1.0,240.0,N,0,0,Normal,2010,11.68464881237231,118734.93045021122
50,RM,69.0,Reg,Lvl,Inside,OldTown,5,7,2009,Gable,VinylSd,TA,BrkTil,TA,No,BLQ,Ex,Y,1027,606,1633,0.0,0,Gd,7,Typ,1,Gd,Unf,1.0,240.0,Y,0,0,Normal,2010,11.886755567157815,145329.02186519088
50,RM,,Reg,Lvl,Inside,OldTown,5,6,1962,Gable,MetalSd,TA,BrkTil,TA,No,Rec,TA,Y,1060,185,1245,0.0,0,TA,6,Typ,0,,Unf,1.0,315.0,Y,0,0,Normal,2010,11.625150134551523,111876.41846924963
30,RM,68.0,Reg,Lvl,Inside,OldTown,2,2,1970,Gable,AsbShng,TA,BrkTil,Fa,No,Unf,TA,N,832,0,832,0.0,0,TA,5,Typ,1,Gd,Unf,2.0,780.0,N,0,0,Abnorml,2010,11.04917845514544,62892.26455923075
70,RM,60.0,Reg,Lvl,Corner,OldTown,8,9,2003,Gable,Wd Sdng,Gd,BrkTil,TA,No,Unf,TA,N,930,636,1566,0.0,0,Gd,7,Typ,0,,Unf,1.0,288.0,Y,54,0,Abnorml,2010,11.859041525271687,141356.66652709816
70,RM,50.0,Reg,Lvl,Inside,OldTown,8,9,2002,Gable,Wd Sdng,Gd,Stone,Fa,No,Unf,Ex,Y,1157,1111,2268,0.0,0,Gd,7,Typ,0,,Unf,2.0,624.0,N,0,0,Normal,2010,12.16334183971206,191633.85779017644
190,RM,100.0,Reg,Lvl,Inside,OldTown,5,3,1950,Gable,MetalSd,TA,BrkTil,TA,Mn,Unf,Fa,N,1128,1128,2256,0.0,0,Fa,12,Typ,0,,,0.0,0.0,N,0,0,Abnorml,2010,11.486143741355988,97357.37264875569
70,RM,60.0,Reg,Lvl,Inside,OldTown,6,7,1994,Gable,Wd Sdng,TA,CBlock,Fa,No,Rec,Ex,Y,868,602,1470,0.0,1,TA,6,Min1,0,,Unf,2.0,624.0,Y,0,0,Normal,2010,11.80518154532109,133944.5979520917
50,RM,53.0,Reg,Lvl,Corner,BrkSide,5,6,1997,Gable,MetalSd,TA,CBlock,TA,No,Rec,Ex,Y,1030,582,1612,0.0,1,TA,7,Typ,0,,Unf,1.0,363.0,Y,0,0,Normal,2010,11.765072442850684,128678.5152340928
75,RL,,IR1,Bnk,Corner,BrkSide,7,7,2005,Gable,Wd Sdng,TA,BrkTil,Gd,No,BLQ,TA,N,1160,908,2068,0.0,1,Gd,8,Typ,1,Gd,Unf,1.0,315.0,Y,0,0,Normal,2010,12.094097737706583,178813.33825960796
30,RM,50.0,Reg,Lvl,Inside,BrkSide,4,7,1950,Gable,MetalSd,TA,BrkTil,TA,No,Rec,TA,N,765,0,765,1.0,0,Gd,4,Typ,0,,Unf,1.0,200.0,P,135,0,Normal,2010,11.368077474887146,86515.37950721968
50,RM,50.0,Reg,Lvl,Inside,BrkSide,6,7,1950,Gable,MetalSd,TA,BrkTil,TA,No,BLQ,TA,Y,608,524,1132,1.0,0,TA,5,Typ,0,,Unf,1.0,240.0,Y,0,0,Abnorml,2010,11.570967143468541,105975.91639603753
50,RM,50.0,Reg,Lvl,Inside,BrkSide,6,6,1950,Gable,MetalSd,TA,CBlock,TA,No,LwQ,Ex,Y,848,348,1196,0.0,1,TA,6,Typ,2,Gd,Unf,2.0,576.0,Y,0,0,Normal,2010,11.759027054205648,127902.9502571176
50,RM,53.0,Reg,Lvl,Corner,BrkSide,5,6,1950,Gable,MetalSd,TA,CBlock,TA,No,Rec,TA,Y,955,498,1453,0.0,1,Gd,7,Min2,2,Fa,Unf,1.0,240.0,Y,0,148,Normal,2010,11.734053987238598,124748.37497028204
50,RM,50.0,Reg,Lvl,Inside,BrkSide,6,7,1950,Gable,Wd Sdng,TA,CBlock,TA,No,Rec,TA,Y,780,636,1416,0.0,1,TA,6,Typ,0,,Unf,1.0,312.0,P,221,0,Normal,2010,11.72126018404056,123162.5349054681
50,RM,52.0,Reg,Lvl,Inside,BrkSide,5,7,1980,Gable,VinylSd,TA,CBlock,TA,No,Rec,Gd,Y,548,492,1040,0.0,0,TA,5,Typ,0,,Fin,2.0,624.0,P,306,0,Normal,2010,11.61004076851761,110198.74293556562
50,RM,52.0,Reg,Lvl,Inside,BrkSide,5,5,1950,Gable,MetalSd,TA,BrkTil,TA,No,LwQ,TA,Y,928,608,1536,0.0,0,TA,7,Typ,1,Gd,Unf,2.0,480.0,Y,0,0,Normal,2010,11.711340841223615,121946.88270266897
30,RM,51.0,Reg,Lvl,Inside,OldTown,6,5,1950,Gable,Wd Sdng,TA,BrkTil,Fa,No,ALQ,TA,Y,1068,0,1068,1.0,0,TA,5,Typ,1,Gd,Unf,1.0,288.0,Y,0,0,Normal,2010,11.645920987484054,114224.48839337687
50,RM,57.0,Reg,Lvl,Inside,OldTown,4,5,1950,Gable,MetalSd,TA,CBlock,TA,No,Unf,Ex,Y,888,1074,1962,0.0,1,TA,9,Typ,1,TA,Unf,2.0,572.0,Y,160,0,Normal,2010,11.78316490322079,131027.81438831995
70,RM,60.0,Reg,Lvl,Inside,OldTown,6,8,2009,Gable,Wd Sdng,Gd,PConc,TA,No,Unf,Ex,Y,780,780,1560,0.0,1,Gd,7,Typ,0,,,0.0,0.0,N,344,168,Normal,2010,11.861116593803846,141650.29584273417
70,RM,52.0,Reg,Lvl,Inside,OldTown,6,8,1993,Gable,VinylSd,TA,BrkTil,TA,No,Unf,Ex,Y,662,662,1324,0.0,0,TA,6,Typ,0,,Unf,1.0,180.0,Y,0,0,Normal,2010,11.735032447590186,124870.4960446871
20,RL,100.0,IR1,Lvl,Inside,ClearCr,5,5,1959,Gable,HdBoard,TA,CBlock,Gd,No,Rec,Gd,Y,1675,0,1675,0.0,0,TA,8,Typ,2,Gd,Unf,1.0,365.0,Y,0,0,Normal,2010,12.061866334731558,173141.8248986021
190,RL,60.0,Reg,Lvl,Inside,SWISU,5,4,1950,Gable,Wd Sdng,Fa,BrkTil,TA,No,Rec,TA,N,1212,180,1392,1.0,0,TA,6,Typ,0,,,0.0,0.0,N,0,0,Normal,2010,11.556699407810353,104474.6155843426
50,RL,65.0,IR1,Bnk,Inside,SWISU,6,5,1950,Gable,VinylSd,TA,CBlock,Fa,No,LwQ,Ex,N,600,319,919,0.0,0,TA,5,Typ,0,,Unf,1.0,231.0,Y,0,0,Normal,2010,11.484423220859725,97190.0113092437
